limit_bal,sex,education,marriage,age,default_payment_next_month,totalbillamt,totalpayamt,fullrepayment,risk_category
200000,2,1,2,34,0,6747,1900,0,1
400000,2,2,1,29,0,2284140,109029,0,0
500000,2,3,1,28,1,109699,8816,0,0
70000,1,2,1,39,0,244242,12120,0,0
50000,1,1,2,29,1,157674,6125,0,1
50000,2,2,1,46,1,57884,1000,0,0
130000,2,2,1,51,0,2452,2353,0,0
200000,1,1,1,57,1,469636,9522,0,1
10000,1,2,1,56,1,22852,3010,0,1
210000,2,1,2,30,0,8589,9198,1,1
130000,2,3,2,29,0,7901,41379,1,1
20000,1,5,2,22,0,88326,3700,0,1
80000,1,1,2,31,0,2340,1950,0,0
320000,1,2,2,29,1,362152,13800,0,1
200000,2,2,1,32,0,26425,19512,0,1
290000,2,1,2,37,0,5514,5514,1,0
340000,1,1,2,32,0,142199,141997,0,0
20000,1,2,2,24,0,101328,5590,0,1
50000,1,3,2,25,0,145406,6358,0,0
300000,2,1,1,45,0,1746,1746,1,0
30000,2,2,2,22,1,149186,8411,0,0
240000,2,2,2,44,1,0,0,1,0
470000,2,3,3,33,0,614823,21926,0,0
360000,2,1,2,26,0,294903,161355,0,0
60000,1,3,2,30,1,143566,5345,0,0
400000,2,2,1,44,0,700952,22753,0,1
50000,2,3,2,49,0,177499,6052,0,0
160000,1,2,2,33,0,667013,101747,0,0
360000,2,1,1,45,1,3510,2340,0,1
160000,2,2,2,32,0,31623,8216,0,0
130000,2,1,1,35,0,226534,56705,0,0
20000,1,3,2,44,0,61309,6151,0,1
200000,1,1,1,53,1,862167,32800,0,1
280000,2,1,2,39,0,15360,3968,0,0
100000,2,1,2,27,0,3555,7555,1,0
160000,2,2,1,37,0,4162,11018,1,0
60000,2,2,2,23,0,197839,6261,0,0
90000,1,2,2,35,0,354716,11756,0,0
360000,1,1,1,43,0,58460,120613,1,0
150000,1,1,2,27,0,479411,23841,0,0
50000,2,3,1,22,0,83794,3783,0,0
20000,1,2,1,38,1,93217,5685,0,0
140000,1,1,2,32,0,13679,13007,0,0
380000,2,1,2,30,0,132602,42019,0,0
480000,1,1,1,63,0,2761015,130971,0,1
50000,2,3,2,22,1,205366,6870,0,0
60000,2,2,2,26,0,342038,13517,0,1
70000,2,2,2,24,0,32109,28529,0,0
80000,2,2,1,36,0,17865,12794,0,0
350000,1,1,2,52,0,10987,15285,1,0
130000,1,2,2,38,0,680938,287768,0,0
360000,1,2,1,35,0,-618,0,1,0
330000,2,1,1,31,0,639580,32747,0,1
50000,1,3,1,47,0,93139,7000,0,1
280000,1,2,1,41,0,855008,40604,0,1
100000,2,1,2,24,0,335186,17866,0,0
50000,1,2,2,41,0,119110,5471,0,0
30000,1,1,2,24,1,117660,6312,0,1
240000,1,1,2,28,0,7456,7656,1,0
80000,1,2,2,26,1,99022,7700,0,1
400000,1,2,1,34,0,71828,57891,0,0
240000,2,2,2,38,0,209703,11073,0,0
50000,1,3,2,37,1,290245,10235,0,1
450000,1,1,1,40,1,0,0,1,0
110000,2,1,1,48,0,0,0,1,0
310000,2,2,1,35,1,1626538,53973,0,1
20000,1,1,2,27,0,112100,4308,0,0
20000,1,2,2,23,0,0,0,1,0
200000,1,3,2,52,0,617685,22056,0,0
180000,1,1,1,36,1,668882,14771,0,0
50000,1,2,1,51,1,30548,6200,0,0
60000,1,3,1,55,0,264125,7511,0,1
30000,2,1,2,23,0,32776,31886,0,0
240000,1,1,2,41,0,11279,8944,0,0
420000,1,2,1,34,0,1349911,53309,0,0
330000,1,3,1,46,0,1369317,49096,0,0
30000,2,2,2,22,0,123482,5460,0,0
240000,1,2,1,34,0,77708,4627,0,1
150000,1,1,2,27,0,140829,20000,0,0
210000,2,2,1,33,0,43256,7046,0,0
50000,2,3,1,51,1,6932,6180,0,0
50000,1,1,2,24,0,208330,8960,0,0
240000,1,1,2,47,1,0,0,1,0
180000,1,2,2,28,0,3828,5580,1,0
50000,1,2,2,23,0,99487,13500,0,1
170000,1,2,2,29,0,67988,65846,0,0
20000,1,1,2,29,0,26510,23641,0,0
50000,1,1,2,28,0,48184,7183,0,1
170000,2,2,2,27,1,105012,3752,0,0
200000,1,1,2,34,0,794273,87000,0,1
80000,2,2,1,23,0,61950,4121,0,1
260000,2,1,1,60,0,21038,24469,1,0
140000,1,2,1,32,0,411323,16267,0,1
80000,1,1,2,25,0,256528,63000,0,0
350000,1,1,2,41,0,4744,4536,0,0
280000,2,2,1,56,0,971621,133200,0,0
30000,2,3,2,26,0,70072,8700,0,0
140000,1,1,1,34,0,222980,35389,0,0
200000,2,1,2,37,0,575407,22560,0,0
200000,2,3,2,30,0,1018160,37788,0,0
210000,1,3,1,45,1,805451,65268,0,2
50000,1,3,1,57,0,79884,3800,0,1
30000,1,1,2,41,0,162596,8150,0,1
50000,1,2,2,27,0,3396,2640,0,1
290000,1,3,1,47,0,3637,2376,0,0
250000,2,1,1,34,0,918942,39850,0,1
60000,2,2,1,46,0,150304,10000,0,0
110000,2,1,2,27,0,539339,21100,0,0
370000,1,1,2,50,0,63070,61944,0,0
100000,1,2,1,27,0,310089,55906,0,1
90000,2,2,1,35,0,472951,24652,0,1
50000,2,2,2,22,0,171359,6795,0,0
270000,1,2,2,37,0,180209,19000,0,0
300000,2,1,2,30,0,11780,11846,1,0
50000,2,2,2,22,0,53787,31149,0,0
50000,2,1,2,24,1,-11569,0,1,0
360000,1,1,2,29,0,77,77,1,0
130000,1,3,1,56,1,410575,14500,0,1
80000,1,1,2,30,0,15624,6004,0,0
50000,1,2,2,30,0,220483,6500,0,1
20000,2,2,2,22,0,83914,6913,0,0
80000,2,2,1,29,0,323559,8800,0,1
240000,1,1,2,37,0,118261,84191,0,1
80000,2,3,2,35,0,129487,29000,0,0
500000,2,1,1,47,0,579243,222550,0,0
60000,2,2,1,24,1,222443,10837,0,0
20000,1,2,2,25,0,50904,5353,0,0
100000,2,2,1,38,1,92351,5600,0,1
360000,2,1,2,32,0,163546,199288,1,0
200000,2,3,2,47,1,1182582,35984,0,1
130000,2,2,1,34,0,57742,17397,0,0
20000,2,2,2,31,0,125792,1760,0,2
310000,1,1,2,32,0,353740,40419,0,0
60000,2,1,2,27,1,130018,6752,0,1
180000,2,1,2,29,0,45854,22881,0,0
180000,2,1,2,24,0,68239,38067,0,1
50000,1,2,1,36,0,84870,26511,0,0
50000,2,1,2,24,1,228759,8132,0,1
150000,2,2,1,34,0,1616,1616,1,0
20000,2,1,2,22,0,103511,24766,0,0
500000,2,1,1,34,0,6457,21861,1,0
30000,2,3,2,22,1,117854,2903,0,1
180000,2,1,1,38,0,750,0,0,0
140000,1,1,2,31,0,130872,38300,0,1
140000,2,1,2,26,0,64236,49839,0,0
120000,1,2,2,26,0,688894,29152,0,0
360000,2,2,1,48,0,1202779,37500,0,0
20000,1,3,1,43,0,98941,31538,0,0
100000,1,1,1,47,0,3033,5023,1,0
210000,2,2,1,41,1,9657,6988,0,0
80000,2,2,2,24,1,391407,13838,0,0
330000,2,1,1,50,0,19462,10868,0,0
220000,1,1,2,24,0,419979,103985,0,0
210000,2,1,1,38,1,2384,11877,1,0
40000,2,3,1,43,0,215945,8404,0,0
30000,1,2,2,39,0,103603,8493,0,1
470000,1,2,2,27,0,2002818,55690,0,1
30000,1,3,1,42,0,3510,2490,0,1
240000,2,2,1,36,1,-5676,0,1,0
80000,1,2,2,36,0,470809,19500,0,1
110000,2,3,0,31,0,453847,26954,0,0
310000,2,1,2,38,0,6092,4668,0,0
360000,2,1,1,40,1,685565,32100,0,1
330000,2,3,2,45,0,2005418,73223,0,0
300000,2,2,2,35,0,1431315,74582,0,0
320000,2,2,2,33,0,437268,41866,0,0
50000,2,3,2,37,1,243968,34317,0,1
170000,2,1,2,28,0,772102,48549,0,0
350000,1,3,1,44,0,8384,5119,0,0
20000,1,2,1,37,0,108461,7564,0,0
50000,1,2,2,23,1,202501,9074,0,1
20000,2,3,2,24,0,63912,5133,0,1
50000,2,1,2,24,0,132930,6732,0,0
20000,1,2,2,23,1,94656,13200,0,1
50000,1,2,1,26,0,197548,51938,0,0
190000,1,2,2,34,1,828058,34887,0,1
60000,2,2,1,33,0,175794,5935,0,0
80000,1,1,2,35,0,41852,36293,0,0
150000,2,2,2,27,0,399780,12625,0,0
210000,2,1,2,31,0,18130,19989,1,0
240000,2,3,1,50,1,1313227,50997,0,0
140000,2,2,3,41,1,115854,13597,0,0
60000,2,1,2,28,0,44436,2285,0,1
50000,1,1,2,39,0,241244,12800,0,0
50000,2,2,2,27,0,169234,7950,0,0
180000,2,1,2,32,0,14634,5818,0,1
30000,2,1,2,40,0,613,595,0,1
20000,2,2,2,40,0,79889,5918,0,0
250000,2,2,1,75,0,63417,11727,0,0
100000,2,2,2,27,0,196498,8260,0,0
330000,1,1,2,25,0,256005,15230,0,1
50000,1,3,1,46,0,117871,7027,0,0
50000,2,2,2,26,0,240862,10062,0,1
30000,1,2,2,28,0,135160,8056,0,0
140000,2,2,2,26,1,631439,25041,0,0
160000,2,1,2,28,0,337391,132311,0,0
400000,2,2,2,29,0,34030,14825,0,0
50000,1,2,1,25,0,173552,6842,0,0
140000,2,2,1,48,0,27095,27501,1,0
160000,2,2,1,33,0,82207,68661,0,0
100000,2,3,1,43,0,62170,0,0,0
220000,1,1,1,48,1,1129440,42020,0,1
510000,2,1,2,29,0,513211,160470,0,0
50000,1,2,2,29,0,202201,16512,0,0
160000,2,1,1,38,0,63277,44142,0,1
230000,2,1,2,37,0,53735,51952,0,0
80000,2,1,2,37,0,35054,28957,0,0
150000,2,2,1,25,0,7104,1264,0,0
10000,1,3,2,23,0,52136,3932,0,1
130000,2,3,2,49,1,357781,9986,0,0
40000,2,1,2,48,0,207975,9200,0,0
50000,1,2,2,27,1,73717,6631,0,1
100000,1,3,2,32,0,180209,9686,0,0
120000,1,1,1,34,0,4414,1800,0,1
260000,2,1,2,58,1,0,0,1,0
200000,2,2,2,33,0,80871,11522,0,0
360000,2,2,2,28,1,0,0,1,0
70000,2,2,2,36,0,265753,28247,0,0
460000,1,1,1,40,1,28039,27927,0,1
50000,2,1,2,26,0,2736,1896,0,0
50000,1,3,1,33,0,211791,7004,0,0
250000,2,2,1,31,0,604011,26900,0,0
30000,2,1,2,27,0,6448,3164,0,0
270000,1,2,1,44,0,486594,144214,0,0
180000,2,3,2,30,0,760211,27192,0,0
100000,2,1,2,28,0,323182,20198,0,0
230000,2,3,1,32,0,667517,29000,0,0
210000,2,1,1,46,0,211039,120470,0,0
210000,1,1,2,38,0,358970,13804,0,1
440000,2,2,1,46,0,828179,29746,0,0
100000,2,2,2,25,1,403638,13210,0,1
240000,2,2,1,46,0,56097,6295,0,0
280000,1,1,2,33,1,-336259,347739,1,0
50000,2,2,2,22,1,0,0,1,0
30000,1,2,1,43,0,12972,2000,0,1
10000,1,2,2,27,1,56848,5470,0,1
130000,1,1,2,29,0,0,1500,1,0
200000,1,1,2,31,0,978958,36425,0,0
120000,2,2,1,29,0,7765,8715,1,0
210000,2,2,1,36,0,858448,32709,0,0
280000,2,1,1,36,0,273640,11718,0,0
300000,1,1,2,34,1,45400,32799,0,0
100000,1,2,2,37,0,462851,15303,0,0
440000,2,1,2,36,0,0,162000,1,0
50000,2,3,1,40,0,154301,7606,0,0
20000,2,1,2,25,1,98447,11500,0,1
200000,2,1,2,27,0,18236,12927,0,0
110000,2,2,2,26,0,12860,12124,0,0
500000,2,2,1,36,0,47529,37052,0,0
300000,2,2,1,27,0,5215,5215,1,0
30000,1,3,1,55,1,72863,8900,0,1
60000,2,1,2,27,0,65912,47111,0,0
400000,2,2,1,38,0,21153,19153,0,0
180000,2,2,1,34,0,827666,32000,0,0
20000,1,1,2,40,0,79047,10600,0,1
200000,2,3,1,49,1,333047,16286,0,1
100000,1,1,2,27,0,194503,4871,0,0
60000,1,2,2,23,1,171532,8013,0,0
110000,2,2,2,36,0,303817,13500,0,0
260000,2,3,1,53,0,2025,2484,1,0
50000,2,3,1,46,0,213516,7372,0,1
180000,1,2,2,29,0,-12,0,1,0
110000,1,2,2,29,1,311346,10354,0,1
340000,2,1,2,27,0,923137,90147,0,0
50000,1,2,2,24,0,31650,11019,0,0
230000,2,2,1,28,1,55327,11750,0,0
360000,2,2,2,32,0,575409,57000,0,0
210000,1,2,2,43,0,160699,52013,0,0
220000,2,2,1,41,1,3375,1925,0,1
60000,2,2,1,34,1,170082,10111,0,1
340000,1,2,1,55,0,137566,164386,1,0
150000,1,1,1,40,0,624055,25700,0,1
200000,2,2,1,37,1,47390,51400,1,1
130000,2,2,2,40,1,66514,7200,0,1
60000,2,1,2,28,0,96266,30696,0,1
400000,2,2,1,43,0,79988,79988,1,0
20000,1,1,2,27,0,116747,5503,0,0
190000,2,1,2,28,0,912875,36836,0,0
260000,2,1,2,30,0,953100,44000,0,0
140000,2,2,2,31,0,390,0,0,0
50000,2,2,1,31,1,234080,10607,0,0
120000,2,1,2,34,0,16986,20204,1,0
240000,2,2,2,30,0,368,2159,1,0
50000,1,2,2,36,0,18847,3390,0,0
200000,2,1,2,29,0,76669,31055,0,1
180000,1,1,1,39,0,920802,284903,0,0
180000,2,1,2,26,0,734847,26710,0,0
160000,2,1,2,29,0,9832,24500,1,0
100000,2,2,2,26,0,19223,13974,0,0
50000,2,2,2,29,1,273459,13000,0,0
140000,2,2,2,31,0,839924,34500,0,0
30000,2,2,2,26,1,117890,6064,0,0
90000,1,1,2,26,0,86582,31842,0,0
200000,1,1,1,36,0,-26795,171133,1,0
380000,1,1,2,30,1,0,0,1,0
80000,2,2,2,43,0,303152,12045,0,0
50000,1,3,1,58,0,109216,6673,0,1
180000,1,2,1,45,1,177278,8781,0,0
240000,2,2,2,26,0,724940,27398,0,0
380000,1,2,2,34,0,1082561,64410,0,0
110000,2,4,2,24,0,487656,19300,0,0
260000,1,1,1,34,0,137687,121666,0,0
500000,2,2,2,23,1,2926653,75500,0,1
320000,2,2,2,30,0,436318,15669,0,0
50000,1,2,2,32,0,248859,5485,0,1
110000,1,1,1,40,1,4498,2564,0,0
230000,2,1,2,35,0,3314,3073,0,0
330000,2,2,1,56,0,15640,16061,1,0
50000,2,2,1,61,0,218302,10251,0,0
10000,1,2,2,24,0,14752,1650,0,1
300000,1,1,1,40,0,0,0,1,0
20000,2,2,1,32,1,93331,3190,0,1
180000,1,2,1,36,1,83538,0,0,1
160000,1,1,2,30,0,61480,119926,1,0
90000,2,1,2,34,0,253776,20640,0,1
30000,1,3,3,54,0,141140,12000,0,0
180000,1,1,1,46,0,836186,189463,0,0
30000,1,3,1,58,0,126272,8016,0,0
30000,1,2,1,43,0,132258,7488,0,1
140000,2,1,2,28,0,45024,35946,0,0
210000,1,1,2,30,0,327465,25500,0,0
50000,1,2,2,31,1,83951,16327,0,0
130000,2,2,2,29,0,472379,20500,0,0
50000,2,2,1,37,1,16397,3500,0,1
140000,1,3,1,36,0,538393,47700,0,0
170000,2,2,2,28,1,29372,3899,0,1
80000,1,2,2,25,0,107251,18103,0,0
410000,2,5,1,42,0,1741454,63800,0,0
80000,2,1,2,29,0,80000,80000,1,0
80000,1,3,1,73,1,416184,23430,0,1
150000,1,2,1,43,0,944099,36834,0,0
260000,1,1,1,30,1,2586,131815,1,0
350000,1,1,1,38,0,0,0,1,0
280000,2,2,1,39,1,174954,48684,0,0
310000,1,2,1,44,0,503434,20078,0,0
140000,2,2,2,29,0,118369,16500,0,0
360000,1,1,1,51,0,63000,25000,0,0
140000,2,1,2,27,0,858345,43600,0,0
100000,1,1,2,38,0,240783,5141,0,0
50000,2,2,2,22,0,1480,1480,1,0
210000,2,2,1,30,0,567259,23202,0,0
120000,2,2,2,25,0,703798,21679,0,1
240000,1,1,2,29,0,666907,204634,0,0
60000,2,3,3,42,0,185007,9885,0,0
150000,1,1,2,41,1,7098,5291,0,1
30000,1,2,1,48,0,161543,8942,0,0
160000,2,1,2,29,1,974815,30512,0,1
200000,1,1,1,52,0,92108,92473,1,0
120000,2,2,1,25,0,47869,6000,0,0
500000,1,1,1,37,0,2466458,64709,0,1
320000,2,1,2,27,0,365115,67601,0,0
280000,1,1,2,31,0,1043732,42823,0,0
60000,2,1,2,23,1,185629,8209,0,1
200000,2,1,1,38,0,257,517,1,0
230000,2,1,1,32,0,11600,11611,1,0
230000,2,2,2,27,1,64332,7441,0,1
480000,2,3,1,41,0,292489,279713,0,0
50000,2,3,1,35,0,27500,5640,0,0
200000,2,1,2,31,0,23286,19872,0,0
50000,2,1,2,30,0,104694,7800,0,1
50000,1,2,1,48,0,180417,15461,0,0
260000,2,1,2,36,1,0,0,1,0
30000,1,1,2,24,0,166661,8607,0,1
440000,2,1,2,29,0,962256,42156,0,0
230000,2,2,2,38,0,17733,9709,0,0
200000,1,2,1,38,1,613953,20500,0,1
490000,2,2,1,30,0,1185021,43181,0,0
80000,2,2,1,32,0,11262,0,0,0
20000,2,3,2,49,1,79043,10123,0,1
170000,2,1,2,31,1,1393,1393,1,0
70000,1,1,2,27,0,293401,36641,0,0
210000,2,2,2,33,0,762633,24500,0,0
90000,2,2,2,25,0,465009,18601,0,0
390000,2,1,2,27,1,1772871,62172,0,0
110000,2,1,2,29,0,304292,13557,0,0
580000,2,1,1,36,0,994160,36784,0,0
360000,1,3,1,55,0,36696,25244,0,0
270000,2,2,1,32,1,1359821,42000,0,1
60000,2,1,2,27,0,14672,650,0,1
110000,1,3,1,37,0,367490,13600,0,0
50000,2,1,1,25,0,235192,8773,0,0
80000,2,1,2,23,1,339098,49268,0,0
50000,1,2,2,23,0,28024,16630,0,0
100000,1,1,2,32,0,531060,21237,0,1
30000,2,1,2,26,0,4137,4137,1,0
200000,2,1,2,27,0,730818,34070,0,0
240000,1,1,2,44,1,1306045,51436,0,0
220000,1,2,2,34,0,160668,6300,0,0
160000,2,1,2,28,0,601165,19300,0,0
180000,2,1,1,53,0,83747,32279,0,0
200000,1,4,1,42,0,170347,12043,0,0
140000,2,3,1,30,0,461266,27121,0,1
380000,1,1,1,51,1,0,0,1,0
600000,1,1,1,53,1,2718542,91000,0,1
260000,1,2,2,37,0,935929,168022,0,0
200000,2,1,2,26,0,162165,7394,0,0
80000,1,2,2,42,0,331586,61032,0,0
40000,1,2,2,39,0,124960,14049,0,0
130000,1,3,2,39,0,439958,18000,0,1
50000,1,1,2,32,0,99206,5000,0,0
230000,2,2,1,41,0,48732,59373,1,0
70000,1,2,1,48,1,156587,14807,0,0
180000,2,2,1,38,0,838496,36029,0,0
80000,2,2,1,36,0,28137,28667,1,0
290000,2,2,2,26,0,248603,115536,0,0
230000,2,1,2,28,0,564897,144032,0,0
170000,2,3,3,56,0,2141,2755,1,0
230000,1,1,1,59,1,1210604,42822,0,0
220000,1,1,2,38,1,1188181,45147,0,0
230000,1,2,2,32,0,142857,5236,0,0
500000,1,2,1,38,0,300881,99568,0,0
90000,2,1,1,41,0,19471,14731,0,0
390000,2,3,2,35,1,1864430,67884,0,0
400000,2,2,2,41,0,1618141,51938,0,0
180000,1,2,1,34,0,11563,11076,0,0
60000,1,3,1,38,0,192042,9500,0,1
120000,2,2,1,32,0,19210,20172,1,0
60000,2,2,2,29,0,167658,6820,0,0
50000,1,1,2,44,0,195918,7869,0,0
70000,2,2,1,37,0,380598,14935,0,1
500000,2,1,1,38,0,2751,2301,0,1
200000,1,1,2,31,0,0,0,1,0
250000,2,2,1,40,0,274820,193164,0,1
140000,1,2,2,26,1,832487,39650,0,1
70000,2,2,2,28,0,169724,10806,0,1
90000,1,3,1,48,0,411870,14486,0,1
100000,2,2,1,43,0,10198,9818,0,0
190000,1,2,1,31,0,894199,29086,0,0
230000,2,1,1,42,0,52633,45768,0,0
320000,1,2,1,39,0,556223,23059,0,0
220000,2,2,1,36,1,4024,4024,1,0
260000,2,1,1,34,0,37990,29865,0,0
90000,2,2,2,32,0,573,157,0,0
30000,2,2,1,43,0,144207,4610,0,1
260000,1,2,2,30,0,668040,22116,0,1
170000,2,2,2,28,0,46228,4308,0,0
80000,2,1,1,28,1,58976,3476,0,0
50000,1,1,1,41,0,2336,4250,1,0
200000,2,3,2,47,0,1196650,43749,0,0
20000,1,2,2,23,0,123892,10465,0,1
250000,2,1,1,49,0,1819,1771,0,0
20000,1,1,1,38,0,114642,7939,0,1
30000,2,2,1,38,0,138451,8200,0,1
90000,2,2,1,35,0,162740,12500,0,1
230000,2,6,2,46,0,1249171,49500,0,0
130000,2,1,1,33,1,107017,5000,0,0
30000,1,6,1,53,0,0,0,1,0
160000,1,1,2,35,0,3200,2805,0,0
500000,2,2,2,43,0,761573,819093,1,0
180000,2,2,2,28,0,226042,10128,0,1
80000,2,2,1,30,0,75825,4800,0,1
120000,1,1,2,26,0,11330,10446,0,0
130000,1,2,1,31,0,6514,5643,0,1
120000,2,2,2,35,1,1440,1440,1,0
360000,1,1,2,28,0,132271,116088,0,0
50000,1,2,2,23,1,189259,8800,0,1
20000,2,2,2,23,0,103607,4938,0,1
100000,1,3,1,56,0,472054,99730,0,0
70000,1,3,1,32,0,415116,19970,0,0
50000,1,2,1,47,0,108988,11797,0,0
10000,2,2,2,22,0,59270,4607,0,1
290000,2,1,1,34,0,624930,39000,0,0
30000,2,1,1,31,0,110402,7645,0,0
410000,2,2,2,27,0,237536,96874,0,0
360000,1,1,2,28,1,424799,454830,1,0
140000,2,2,1,42,1,501478,27167,0,0
210000,2,1,2,32,0,427893,17600,0,0
220000,2,2,2,27,0,20097,171909,1,0
20000,1,2,2,27,0,116201,4500,0,1
620000,2,2,1,45,1,979950,30700,0,1
360000,1,1,2,26,0,4245,4298,1,0
20000,2,2,2,21,0,52614,36511,0,1
50000,1,2,2,23,0,129497,28536,0,0
50000,1,2,3,30,0,218334,6935,0,0
10000,1,2,2,46,1,36955,3766,0,1
100000,2,3,1,50,1,356645,17050,0,1
50000,1,1,2,26,0,11223,9519,0,0
60000,1,2,2,25,0,17388,14013,0,0
440000,2,1,2,35,0,1590980,55700,0,0
120000,1,2,1,44,0,421362,14449,0,0
50000,2,1,2,52,0,7741,1318,0,0
110000,2,2,1,40,0,576533,23100,0,1
200000,2,1,2,38,0,887,805,0,0
150000,2,1,2,28,0,318,318,1,0
30000,2,2,1,36,1,169630,4700,0,1
100000,2,1,2,24,0,164636,51245,0,0
360000,2,1,1,34,0,58482,40069,0,0
390000,2,1,2,31,0,284264,23000,0,0
220000,2,1,1,41,1,-525,0,1,0
160000,2,2,2,25,0,0,0,1,0
230000,2,1,2,28,0,63456,25923,0,0
120000,1,1,2,27,0,246395,27524,0,0
100000,1,3,1,52,1,37706,7500,0,1
190000,2,1,2,41,1,72112,43854,0,0
50000,1,1,1,56,1,219191,9617,0,0
240000,2,1,1,42,0,6370,6370,1,0
40000,2,2,2,24,0,223518,10159,0,0
630000,2,2,1,47,0,118530,55661,0,0
160000,2,1,1,33,0,13149,9074,0,0
110000,2,2,2,32,0,463018,29300,0,1
20000,1,2,2,29,0,35627,2055,0,0
210000,2,3,1,53,0,362544,14975,0,0
270000,1,1,2,34,0,57523,43455,0,0
360000,2,2,2,52,0,4687,4973,1,0
60000,2,2,1,42,0,9651,9750,1,0
360000,1,2,2,38,0,477607,136709,0,0
390000,2,1,2,45,0,9583,9874,1,1
250000,2,3,2,35,0,37633,43951,1,0
90000,2,1,2,24,1,107492,12884,0,0
360000,1,1,2,28,0,37909,48124,1,0
50000,1,3,2,26,0,155313,6685,0,0
270000,2,1,1,40,0,24457,1000,0,0
200000,2,1,2,29,0,93578,38096,0,0
50000,2,2,2,23,0,194735,9496,0,0
350000,1,1,2,33,0,25844,15084,0,0
160000,2,2,2,60,1,14048,10431,0,0
80000,2,3,1,49,0,26122,30745,1,0
290000,1,1,1,53,1,1622960,59114,0,1
270000,2,1,2,28,0,143620,77166,0,0
80000,1,1,2,31,0,55230,30128,0,1
50000,1,2,2,36,0,38925,5400,0,0
30000,1,2,1,35,0,24623,16882,0,0
30000,1,2,2,28,1,780,780,1,0
90000,1,2,2,33,0,195738,46487,0,0
160000,1,1,2,26,0,67573,72407,1,0
80000,2,3,2,53,0,410262,15881,0,0
50000,1,2,2,42,0,245027,7200,0,0
20000,2,1,2,25,0,99055,5900,0,1
220000,1,1,1,43,1,0,0,1,0
210000,1,3,2,25,1,67409,44925,0,1
130000,2,2,2,29,0,535030,18011,0,0
260000,2,2,1,31,0,194136,159300,0,0
230000,2,1,1,30,0,254314,89840,0,0
160000,1,1,2,34,0,512342,20862,0,0
50000,1,1,1,35,0,77061,7220,0,0
80000,1,2,1,32,0,261480,18017,0,0
110000,1,3,2,46,0,356592,14882,0,0
200000,1,1,1,43,0,826110,29861,0,0
360000,1,2,2,29,0,1542987,46711,0,0
210000,2,3,2,31,0,0,0,1,0
80000,2,2,2,24,0,389365,18249,0,1
300000,2,2,1,36,1,79766,88921,1,1
310000,2,2,1,43,0,148678,6310,0,0
30000,1,3,1,59,1,3270,2880,0,0
170000,1,1,1,53,0,103181,4616,0,0
140000,2,2,2,28,0,172568,9001,0,1
180000,2,2,2,31,0,0,1576,1,0
