limit_bal,sex,education,marriage,age,default_payment_next_month,totalbillamt,totalpayamt,fullrepayment,max_delay,risk_category,bill_to_limit_ratio,payment_to_bill_ratio
90000,1,1.0,2,23,0,31864,16400,0,0,0,0.35404444444444444,0.5146874215415516
50000,1,3.0,2,23,0,214295,7891,0,0,0,4.2859,0.036823071000256655
60000,1,1.0,2,27,1,-394,2500,1,1,0,-0.006566666666666667,-6.345177664974619
50000,2,3.0,2,30,0,112268,7112,0,0,0,2.24536,0.06334841628959276
50000,2,3.0,1,47,0,40208,39567,0,-1,0,0.80416,0.9840578989255869
50000,1,1.0,2,26,0,97082,6600,0,0,0,1.94164,0.06798376630065306
230000,2,1.0,2,27,0,113746,97489,0,-1,0,0.4945478260869565,0.8570762927927136
50000,1,2.0,2,33,1,151869,6934,0,2,1,3.03738,0.04565777084197565
100000,1,1.0,2,32,0,495237,18744,0,0,0,4.95237,0.037848545241975055
500000,2,2.0,1,54,0,125744,158502,1,-2,0,0.251488,1.2605134240997582
500000,1,1.0,1,58,0,58318,45425,0,-2,0,0.116636,0.7789190301450667
160000,1,1.0,2,30,0,25312,2280,0,-1,0,0.1582,0.09007585335018964
280000,1,2.0,1,40,0,1069977,41923,0,0,0,3.8213464285714287,0.03918121604483087
60000,2,2.0,2,22,0,32279,53349,1,0,0,0.5379833333333334,1.6527463676074228
50000,1,1.0,2,25,1,780,780,1,1,0,0.0156,1.0
280000,1,1.0,2,31,0,51643,37357,0,2,1,0.18443928571428572,0.7233700598338594
360000,1,1.0,2,33,0,1650751,243840,0,0,0,4.585419444444445,0.1477145856643431
70000,2,1.0,2,25,0,392856,19342,0,0,0,5.612228571428571,0.049234325045309224
10000,1,2.0,2,22,0,22761,7227,0,0,0,2.2761,0.31751680506128904
140000,2,2.0,1,37,0,385134,20000,0,0,0,2.7509571428571427,0.05192997761817965
40000,2,1.0,2,30,0,147185,13000,0,2,1,3.679625,0.08832421782110948
210000,1,1.0,2,29,1,0,0,1,-2,0,0.0,0.0
20000,2,1.0,2,22,1,79328,20075,0,2,1,3.9664,0.25306323114158935
150000,2,4.0,2,46,1,9837,2183,0,0,0,0.06558,0.22191725119446987
380000,1,2.0,2,32,0,114815,93332,0,-1,0,0.30214473684210524,0.8128903017898358
20000,1,1.0,2,24,0,115810,6246,0,0,0,5.7905,0.05393316639323029
70000,1,3.0,2,42,1,229012,8100,0,2,1,3.2716,0.03536932562485809
100000,2,3.0,3,43,0,265185,9606,0,0,0,2.65185,0.03622376831268737
310000,2,2.0,1,49,0,44125,30668,0,-2,0,0.14233870967741935,0.6950254957507083
180000,2,1.0,2,25,0,259151,10246,0,2,1,1.4397277777777777,0.03953679515031777
150000,2,1.0,2,29,0,176751,12867,0,2,1,1.17834,0.07279732505049476
500000,2,1.0,1,45,0,8388,6483,0,-2,0,0.016776,0.772889842632332
180000,2,3.0,1,34,0,55404,29179,0,0,0,0.3078,0.5266587250018049
180000,2,2.0,1,34,0,952362,34062,0,0,0,5.2909,0.03576581173965362
200000,2,1.0,2,34,0,6747,1900,0,3,1,0.033735,0.2816066399881429
400000,2,2.0,1,29,0,2284140,109029,0,0,0,5.71035,0.047733063647587275
500000,2,3.0,1,28,1,109699,8816,0,0,0,0.219398,0.08036536340349502
70000,1,2.0,1,39,0,244242,12120,0,0,0,3.4891714285714284,0.049622914977767954
50000,1,1.0,2,29,1,157674,6125,0,2,1,3.15348,0.03884597333739234
50000,2,2.0,1,46,1,57884,1000,0,0,0,1.15768,0.017275931172690207
130000,2,2.0,1,51,0,2452,2353,0,-1,0,0.01886153846153846,0.9596247960848288
200000,1,1.0,1,57,1,469636,9522,0,2,1,2.34818,0.020275277023056155
10000,1,2.0,1,56,1,22852,3010,0,2,1,2.2852,0.13171713635568003
210000,2,1.0,2,30,0,8589,9198,1,2,1,0.0409,1.0709046454767726
130000,2,3.0,2,29,0,7901,41379,1,2,1,0.060776923076923076,5.237185166434629
20000,1,4.0,2,22,0,88326,3700,0,2,1,4.4163,0.0418902701356339
80000,1,1.0,2,31,0,2340,1950,0,-1,0,0.02925,0.8333333333333334
320000,1,2.0,2,29,1,362152,13800,0,2,1,1.131725,0.0381055468422099
200000,2,2.0,1,32,0,26425,19512,0,2,1,0.132125,0.7383916745506149
290000,2,1.0,2,37,0,5514,5514,1,1,0,0.019013793103448275,1.0
340000,1,1.0,2,32,0,142199,141997,0,-1,0,0.41823235294117644,0.9985794555517268
20000,1,2.0,2,24,0,101328,5590,0,2,1,5.0664,0.055167377230380545
50000,1,3.0,2,25,0,145406,6358,0,0,0,2.90812,0.043725843500268216
300000,2,1.0,1,45,0,1746,1746,1,-1,0,0.00582,1.0
30000,2,2.0,2,22,1,149186,8411,0,0,0,4.9728666666666665,0.05637928491949647
240000,2,2.0,2,44,1,0,0,1,1,0,0.0,0.0
470000,2,3.0,3,33,0,614823,21926,0,0,0,1.3081340425531915,0.03566229630316368
360000,2,1.0,2,26,0,294903,161355,0,0,0,0.819175,0.5471460107221696
60000,1,3.0,2,30,1,143566,5345,0,0,0,2.3927666666666667,0.03723026343284622
400000,2,2.0,1,44,0,700952,22753,0,2,1,1.75238,0.03246013992398909
50000,2,3.0,2,49,0,177499,6052,0,0,0,3.54998,0.03409596673784078
160000,1,2.0,2,33,0,667013,101747,0,0,0,4.16883125,0.15254125481812197
360000,2,1.0,1,45,1,3510,2340,0,2,1,0.00975,0.6666666666666666
160000,2,2.0,2,32,0,31623,8216,0,0,0,0.19764375,0.2598108971318344
130000,2,1.0,1,35,0,226534,56705,0,0,0,1.7425692307692309,0.25031562591045936
20000,1,3.0,2,44,0,61309,6151,0,2,1,3.06545,0.10032784746122103
200000,1,1.0,1,53,1,862167,32800,0,2,1,4.310835,0.03804367367342986
280000,2,1.0,2,39,0,15360,3968,0,0,0,0.054857142857142854,0.25833333333333336
100000,2,1.0,2,27,0,3555,7555,1,-2,0,0.03555,2.1251758087201127
160000,2,2.0,1,37,0,4162,11018,1,-1,0,0.0260125,2.647284959154253
60000,2,2.0,2,23,0,197839,6261,0,0,0,3.2973166666666667,0.031646945243354443
90000,1,2.0,2,35,0,354716,11756,0,0,0,3.941288888888889,0.03314200656299687
360000,1,1.0,1,43,0,58460,120613,1,0,0,0.1623888888888889,2.0631713992473486
150000,1,1.0,2,27,0,479411,23841,0,0,0,3.1960733333333335,0.04972977257509736
50000,2,3.0,1,22,0,83794,3783,0,0,0,1.67588,0.045146430532019
20000,1,2.0,1,38,1,93217,5685,0,0,0,4.66085,0.06098672988832509
140000,1,1.0,2,32,0,13679,13007,0,-2,0,0.09770714285714285,0.9508736018714818
380000,2,1.0,2,30,0,132602,42019,0,0,0,0.34895263157894735,0.3168805900363494
480000,1,1.0,1,63,0,2761015,130971,0,2,1,5.752114583333333,0.04743581617629748
50000,2,3.0,2,22,1,205366,6870,0,0,0,4.10732,0.03345247022389295
60000,2,2.0,2,26,0,342038,13517,0,2,1,5.700633333333333,0.039519000812775186
70000,2,2.0,2,24,0,32109,28529,0,-1,0,0.4587,0.8885047805911115
80000,2,2.0,1,36,0,17865,12794,0,-1,0,0.2233125,0.7161488944864259
350000,1,1.0,2,52,0,10987,15285,1,-1,0,0.03139142857142857,1.3911895876945481
130000,1,2.0,2,38,0,680938,287768,0,0,0,5.237984615384615,0.4226052885872135
360000,1,2.0,1,35,0,-618,0,1,1,0,-0.0017166666666666667,-0.0
330000,2,1.0,1,31,0,639580,32747,0,2,1,1.9381212121212121,0.05120078801713625
50000,1,3.0,1,47,0,93139,7000,0,2,1,1.86278,0.07515648654162059
280000,1,2.0,1,41,0,855008,40604,0,3,1,3.0536,0.04748961413226543
100000,2,1.0,2,24,0,335186,17866,0,0,0,3.35186,0.05330174887972648
50000,1,2.0,2,41,0,119110,5471,0,0,0,2.3822,0.04593233145831584
30000,1,1.0,2,24,1,117660,6312,0,3,1,3.922,0.0536460989291178
240000,1,1.0,2,28,0,7456,7656,1,-1,0,0.031066666666666666,1.0268240343347639
80000,1,2.0,2,26,1,99022,7700,0,2,1,1.237775,0.07776049766718507
400000,1,2.0,1,34,0,71828,57891,0,-1,0,0.17957,0.8059670323550705
240000,2,2.0,2,38,0,209703,11073,0,0,0,0.8737625,0.05280325031115435
50000,1,3.0,2,37,1,290245,10235,0,3,1,5.8049,0.03526331202949232
450000,1,1.0,1,40,1,0,0,1,1,0,0.0,0.0
110000,2,1.0,1,48,0,0,0,1,1,0,0.0,0.0
310000,2,2.0,1,35,1,1626538,53973,0,2,1,5.246896774193549,0.03318274765176098
20000,1,1.0,2,27,0,112100,4308,0,0,0,5.605,0.0384299732381802
20000,1,2.0,2,23,0,0,0,1,1,0,0.0,0.0
200000,1,3.0,2,52,0,617685,22056,0,0,0,3.088425,0.03570752082372083
180000,1,1.0,1,36,1,668882,14771,0,0,0,3.716011111111111,0.022083117799552087
50000,1,2.0,1,51,1,30548,6200,0,0,0,0.61096,0.2029592772030902
60000,1,3.0,1,55,0,264125,7511,0,3,1,4.402083333333334,0.028437292948414575
30000,2,1.0,2,23,0,32776,31886,0,1,0,1.0925333333333334,0.9728459848669758
240000,1,1.0,2,41,0,11279,8944,0,1,0,0.046995833333333334,0.7929781008954695
420000,1,2.0,1,34,0,1349911,53309,0,0,0,3.2140738095238097,0.03949075161251371
330000,1,3.0,1,46,0,1369317,49096,0,0,0,4.149445454545455,0.03585437119381414
30000,2,2.0,2,22,0,123482,5460,0,0,0,4.116066666666667,0.044216970894543337
240000,1,2.0,1,34,0,77708,4627,0,2,1,0.3237833333333333,0.05954341895300355
150000,1,1.0,2,27,0,140829,20000,0,0,0,0.93886,0.142016204048882
210000,2,2.0,1,33,0,43256,7046,0,0,0,0.20598095238095238,0.16289069724431293
50000,2,3.0,1,51,1,6932,6180,0,-1,0,0.13864,0.8915175995383727
50000,1,1.0,2,24,0,208330,8960,0,0,0,4.1666,0.04300868813901022
240000,1,1.0,2,47,1,0,0,1,1,0,0.0,0.0
180000,1,2.0,2,28,0,3828,5580,1,-1,0,0.021266666666666666,1.457680250783699
50000,1,2.0,2,23,0,99487,13500,0,2,1,1.98974,0.1356961211012494
170000,1,2.0,2,29,0,67988,65846,0,-2,0,0.39992941176470587,0.9684944401953286
20000,1,1.0,2,29,0,26510,23641,0,0,0,1.3255,0.8917766880422482
50000,1,1.0,2,28,0,48184,7183,0,3,1,0.96368,0.14907438153743982
170000,2,2.0,2,27,1,105012,3752,0,0,0,0.6177176470588235,0.03572924999047728
200000,1,1.0,2,34,0,794273,87000,0,2,1,3.971365,0.10953412743477368
80000,2,2.0,1,23,0,61950,4121,0,3,1,0.774375,0.06652138821630348
260000,2,1.0,1,60,0,21038,24469,1,1,0,0.08091538461538461,1.16308584466204
140000,1,2.0,1,32,0,411323,16267,0,2,1,2.9380214285714286,0.039547995127916506
80000,1,1.0,2,25,0,256528,63000,0,0,0,3.2066,0.24558722634566207
350000,1,1.0,2,41,0,4744,4536,0,1,0,0.013554285714285715,0.9561551433389545
280000,2,2.0,1,56,0,971621,133200,0,0,0,3.470075,0.13709049104537674
30000,2,3.0,2,26,0,70072,8700,0,0,0,2.335733333333333,0.12415800890512615
140000,1,1.0,1,34,0,222980,35389,0,0,0,1.5927142857142857,0.15870930128262625
200000,2,1.0,2,37,0,575407,22560,0,0,0,2.877035,0.03920703084946829
200000,2,3.0,2,30,0,1018160,37788,0,0,0,5.0908,0.0371140095859197
210000,1,3.0,1,45,1,805451,65268,0,6,2,3.8354809523809523,0.08103286233426987
50000,1,3.0,1,57,0,79884,3800,0,3,1,1.59768,0.047568975013769964
30000,1,1.0,2,41,0,162596,8150,0,2,1,5.419866666666667,0.05012423429850673
50000,1,2.0,2,27,0,3396,2640,0,2,1,0.06792,0.7773851590106007
290000,1,3.0,1,47,0,3637,2376,0,0,0,0.012541379310344828,0.6532856750068738
250000,2,1.0,1,34,0,918942,39850,0,2,1,3.675768,0.043365087241632225
60000,2,2.0,1,46,0,150304,10000,0,0,0,2.5050666666666666,0.06653182882691079
110000,2,1.0,2,27,0,539339,21100,0,0,0,4.9030818181818185,0.03912196225379585
370000,1,1.0,2,50,0,63070,61944,0,-2,0,0.17045945945945945,0.9821468209925479
100000,1,2.0,1,27,0,310089,55906,0,2,1,3.10089,0.18029017475627965
90000,2,2.0,1,35,0,472951,24652,0,2,1,5.255011111111111,0.05212379295106681
50000,2,2.0,2,22,0,171359,6795,0,0,0,3.42718,0.03965359274972426
270000,1,2.0,2,37,0,180209,19000,0,0,0,0.6674407407407408,0.10543313596990161
300000,2,1.0,2,30,0,11780,11846,1,-1,0,0.039266666666666665,1.0056027164685908
50000,2,2.0,2,22,0,53787,31149,0,0,0,1.07574,0.5791176306542473
50000,2,1.0,2,24,1,-11569,0,1,1,0,-0.23138,-0.0
360000,1,1.0,2,29,0,77,77,1,1,0,0.0002138888888888889,1.0
130000,1,3.0,1,56,1,410575,14500,0,3,1,3.1582692307692306,0.03531632466662607
80000,1,1.0,2,30,0,15624,6004,0,0,0,0.1953,0.38428059395801334
50000,1,2.0,2,30,0,220483,6500,0,2,1,4.40966,0.029480730940707446
20000,2,2.0,2,22,0,83914,6913,0,0,0,4.1957,0.08238196248540172
80000,2,2.0,1,29,0,323559,8800,0,2,1,4.0444875,0.027197512663841836
240000,1,1.0,2,37,0,118261,84191,0,2,1,0.49275416666666666,0.7119084059833758
80000,2,3.0,2,35,0,129487,29000,0,0,0,1.6185875,0.2239607064801872
500000,2,1.0,1,47,0,579243,222550,0,0,0,1.158486,0.38420835469742404
60000,2,2.0,1,24,1,222443,10837,0,0,0,3.7073833333333335,0.048718098569071625
20000,1,2.0,2,25,0,50904,5353,0,0,0,2.5452,0.10515873015873016
100000,2,2.0,1,38,1,92351,5600,0,2,1,0.92351,0.06063821723641325
360000,2,1.0,2,32,0,163546,199288,1,1,0,0.45429444444444445,1.2185440181967153
200000,2,3.0,2,47,1,1182582,35984,0,2,1,5.91291,0.030428333933714535
130000,2,2.0,1,34,0,57742,17397,0,1,0,0.44416923076923076,0.3012884901804579
20000,2,2.0,2,31,0,125792,1760,0,5,2,6.2896,0.013991350801322818
310000,1,1.0,2,32,0,353740,40419,0,0,0,1.1410967741935485,0.11426188726183072
60000,2,1.0,2,27,1,130018,6752,0,2,1,2.1669666666666667,0.05193127105477703
180000,2,1.0,2,29,0,45854,22881,0,0,0,0.25474444444444444,0.4989968159811576
180000,2,1.0,2,24,0,68239,38067,0,2,1,0.37910555555555553,0.5578481513504008
50000,1,2.0,1,36,0,84870,26511,0,0,0,1.6974,0.31237186284906326
50000,2,1.0,2,24,1,228759,8132,0,2,1,4.57518,0.035548328153209276
150000,2,2.0,1,34,0,1616,1616,1,-2,0,0.010773333333333333,1.0
20000,2,1.0,2,22,0,103511,24766,0,0,0,5.17555,0.23925959559853544
500000,2,1.0,1,34,0,6457,21861,1,-1,0,0.012914,3.3856280006194828
30000,2,3.0,2,22,1,117854,2903,0,2,1,3.9284666666666666,0.024632172009435405
180000,2,1.0,1,38,0,750,0,0,-2,0,0.004166666666666667,0.0
140000,1,1.0,2,31,0,130872,38300,0,2,1,0.9348,0.2926523626138517
140000,2,1.0,2,26,0,64236,49839,0,0,0,0.4588285714285714,0.7758733420511863
120000,1,2.0,2,26,0,688894,29152,0,0,0,5.740783333333333,0.04231710538921808
360000,2,2.0,1,48,0,1202779,37500,0,0,0,3.3410527777777776,0.031177797417480686
20000,1,3.0,1,43,0,98941,31538,0,0,0,4.94705,0.3187556220373758
100000,1,1.0,1,47,0,3033,5023,1,-1,0,0.03033,1.6561160567095286
210000,2,2.0,1,41,1,9657,6988,0,-1,0,0.04598571428571428,0.723620171896034
80000,2,2.0,2,24,1,391407,13838,0,0,0,4.8925875,0.035354503113127767
330000,2,1.0,1,50,0,19462,10868,0,-1,0,0.05897575757575758,0.5584215394101326
220000,1,1.0,2,24,0,419979,103985,0,0,0,1.9089954545454546,0.24759571311898929
210000,2,1.0,1,38,1,2384,11877,1,1,0,0.011352380952380952,4.981963087248322
40000,2,3.0,1,43,0,215945,8404,0,0,0,5.398625,0.038917316909398224
30000,1,2.0,2,39,0,103603,8493,0,2,1,3.4534333333333334,0.08197639064505854
470000,1,2.0,2,27,0,2002818,55690,0,2,1,4.261314893617021,0.027805821597369308
30000,1,3.0,1,42,0,3510,2490,0,2,1,0.117,0.7094017094017094
240000,2,2.0,1,36,1,-5676,0,1,1,0,-0.02365,-0.0
80000,1,2.0,2,36,0,470809,19500,0,2,1,5.8851125,0.04141806974802945
110000,2,3.0,3,31,0,453847,26954,0,0,0,4.125881818181818,0.05939005876429722
310000,2,1.0,2,38,0,6092,4668,0,-1,0,0.019651612903225806,0.7662508207485227
360000,2,1.0,1,40,1,685565,32100,0,2,1,1.9043472222222222,0.04682269369060556
330000,2,3.0,2,45,0,2005418,73223,0,0,0,6.077024242424242,0.03651258740073142
300000,2,2.0,2,35,0,1431315,74582,0,0,0,4.77105,0.05210732787681258
320000,2,2.0,2,33,0,437268,41866,0,0,0,1.3664625,0.09574448621897784
50000,2,3.0,2,37,1,243968,34317,0,3,1,4.87936,0.14066189008394545
170000,2,1.0,2,28,0,772102,48549,0,0,0,4.5417764705882355,0.06287899785261533
350000,1,3.0,1,44,0,8384,5119,0,-1,0,0.023954285714285713,0.6105677480916031
20000,1,2.0,1,37,0,108461,7564,0,0,0,5.42305,0.06973935331593845
50000,1,2.0,2,23,1,202501,9074,0,2,1,4.05002,0.04480965526096167
20000,2,3.0,2,24,0,63912,5133,0,2,1,3.1956,0.08031355613969207
50000,2,1.0,2,24,0,132930,6732,0,0,0,2.6586,0.05064319566689235
20000,1,2.0,2,23,1,94656,13200,0,2,1,4.7328,0.1394523326572008
50000,1,2.0,1,26,0,197548,51938,0,0,0,3.95096,0.26291331726972683
190000,1,2.0,2,34,1,828058,34887,0,2,1,4.3582,0.04213110675822225
60000,2,2.0,1,33,0,175794,5935,0,0,0,2.9299,0.03376110674994596
80000,1,1.0,2,35,0,41852,36293,0,-1,0,0.52315,0.8671748064608621
150000,2,2.0,2,27,0,399780,12625,0,0,0,2.6652,0.03157986892791035
210000,2,1.0,2,31,0,18130,19989,1,-1,0,0.08633333333333333,1.1025372311086596
240000,2,3.0,1,50,1,1313227,50997,0,0,0,5.471779166666667,0.038833347166940674
140000,2,2.0,3,41,1,115854,13597,0,0,0,0.8275285714285714,0.11736323303468159
60000,2,1.0,2,28,0,44436,2285,0,2,1,0.7406,0.05142227023134396
50000,1,1.0,2,39,0,241244,12800,0,0,0,4.82488,0.05305831440367429
50000,2,2.0,2,27,0,169234,7950,0,0,0,3.38468,0.04697637590555089
180000,2,1.0,2,32,0,14634,5818,0,2,1,0.0813,0.3975673090064234
30000,2,1.0,2,40,0,613,595,0,2,1,0.020433333333333335,0.9706362153344209
20000,2,2.0,2,40,0,79889,5918,0,0,0,3.99445,0.07407778292380678
250000,2,2.0,1,75,0,63417,11727,0,0,0,0.253668,0.1849188703344529
100000,2,2.0,2,27,0,196498,8260,0,0,0,1.96498,0.042036051257519164
330000,1,1.0,2,25,0,256005,15230,0,2,1,0.7757727272727273,0.059491025565906915
50000,1,3.0,1,46,0,117871,7027,0,0,0,2.35742,0.05961602090420884
50000,2,2.0,2,26,0,240862,10062,0,2,1,4.81724,0.041774958274862786
30000,1,2.0,2,28,0,135160,8056,0,0,0,4.505333333333334,0.05960343296833383
140000,2,2.0,2,26,1,631439,25041,0,0,0,4.510278571428572,0.0396570373385236
160000,2,1.0,2,28,0,337391,132311,0,0,0,2.10869375,0.39215924550447406
400000,2,2.0,2,29,0,34030,14825,0,0,0,0.085075,0.4356450191007934
50000,1,2.0,1,25,0,173552,6842,0,0,0,3.47104,0.039423342859776896
140000,2,2.0,1,48,0,27095,27501,1,0,0,0.19353571428571428,1.0149843144491604
160000,2,2.0,1,33,0,82207,68661,0,0,0,0.51379375,0.8352208449402119
100000,2,3.0,1,43,0,62170,0,0,0,0,0.6217,0.0
220000,1,1.0,1,48,1,1129440,42020,0,2,1,5.133818181818182,0.037204278226377674
510000,2,1.0,2,29,0,513211,160470,0,0,0,1.0062960784313726,0.31267841102392585
50000,1,2.0,2,29,0,202201,16512,0,0,0,4.04402,0.08166131720416812
160000,2,1.0,1,38,0,63277,44142,0,2,1,0.39548125,0.6975994437157261
230000,2,1.0,2,37,0,53735,51952,0,-2,0,0.2336304347826087,0.966818647064297
80000,2,1.0,2,37,0,35054,28957,0,-1,0,0.438175,0.8260683516859703
150000,2,2.0,1,25,0,7104,1264,0,-1,0,0.04736,0.17792792792792791
10000,1,3.0,2,23,0,52136,3932,0,2,1,5.2136,0.0754181371796839
130000,2,3.0,2,49,1,357781,9986,0,0,0,2.7521615384615385,0.027910928752505025
40000,2,1.0,2,48,0,207975,9200,0,0,0,5.199375,0.04423608606803702
50000,1,2.0,2,27,1,73717,6631,0,3,1,1.47434,0.08995211416633883
100000,1,3.0,2,32,0,180209,9686,0,0,0,1.80209,0.053748702894971946
120000,1,1.0,1,34,0,4414,1800,0,2,1,0.036783333333333335,0.4077933846850929
260000,2,1.0,2,58,1,0,0,1,1,0,0.0,0.0
200000,2,2.0,2,33,0,80871,11522,0,0,0,0.404355,0.14247381632476414
360000,2,2.0,2,28,1,0,0,1,-2,0,0.0,0.0
70000,2,2.0,2,36,0,265753,28247,0,0,0,3.7964714285714285,0.10629042757748737
460000,1,1.0,1,40,1,28039,27927,0,2,1,0.060954347826086955,0.9960055636791612
50000,2,1.0,2,26,0,2736,1896,0,-1,0,0.05472,0.6929824561403509
50000,1,3.0,1,33,0,211791,7004,0,0,0,4.23582,0.03307033821078327
250000,2,2.0,1,31,0,604011,26900,0,0,0,2.416044,0.044535612762019235
30000,2,1.0,2,27,0,6448,3164,0,0,0,0.21493333333333334,0.49069478908188585
270000,1,2.0,1,44,0,486594,144214,0,0,0,1.8022,0.296374390148666
180000,2,3.0,2,30,0,760211,27192,0,0,0,4.223394444444445,0.03576901675982063
100000,2,1.0,2,28,0,323182,20198,0,0,0,3.23182,0.06249729254723345
230000,2,3.0,1,32,0,667517,29000,0,0,0,2.9022478260869566,0.04344458643000852
210000,2,1.0,1,46,0,211039,120470,0,-1,0,1.004947619047619,0.5708423561521804
210000,1,1.0,2,38,0,358970,13804,0,2,1,1.7093809523809524,0.03845446694709864
440000,2,2.0,1,46,0,828179,29746,0,0,0,1.882225,0.03591735603051997
100000,2,2.0,2,25,1,403638,13210,0,2,1,4.03638,0.032727344799052614
240000,2,2.0,1,46,0,56097,6295,0,0,0,0.2337375,0.1122163395546999
280000,1,1.0,2,33,1,-336259,347739,1,-1,0,-1.200925,-1.0341403501467619
50000,2,2.0,2,22,1,0,0,1,1,0,0.0,0.0
30000,1,2.0,1,43,0,12972,2000,0,3,1,0.4324,0.1541782300339192
10000,1,2.0,2,27,1,56848,5470,0,2,1,5.6848,0.09622150295524909
130000,1,1.0,2,29,0,0,1500,1,1,0,0.0,0.0
200000,1,1.0,2,31,0,978958,36425,0,0,0,4.89479,0.03720792924722
120000,2,2.0,1,29,0,7765,8715,1,-1,0,0.06470833333333334,1.1223438506117192
210000,2,2.0,1,36,0,858448,32709,0,0,0,4.087847619047619,0.03810248261979759
280000,2,1.0,1,36,0,273640,11718,0,0,0,0.9772857142857143,0.042822686741704426
300000,1,1.0,2,34,1,45400,32799,0,1,0,0.15133333333333332,0.7224449339207049
100000,1,2.0,2,37,0,462851,15303,0,0,0,4.62851,0.033062475829154524
440000,2,1.0,2,36,0,0,162000,1,-2,0,0.0,0.0
50000,2,3.0,1,40,0,154301,7606,0,0,0,3.08602,0.049293264463613325
20000,2,1.0,2,25,1,98447,11500,0,2,1,4.92235,0.11681412333539874
200000,2,1.0,2,27,0,18236,12927,0,0,0,0.09118,0.7088725597718798
110000,2,2.0,2,26,0,12860,12124,0,-2,0,0.11690909090909091,0.9427682737169518
500000,2,2.0,1,36,0,47529,37052,0,-1,0,0.095058,0.7795661596078184
300000,2,2.0,1,27,0,5215,5215,1,1,0,0.017383333333333334,1.0
30000,1,3.0,1,55,1,72863,8900,0,4,1,2.4287666666666667,0.12214704308085036
60000,2,1.0,2,27,0,65912,47111,0,-1,0,1.0985333333333334,0.7147560383541692
400000,2,2.0,1,38,0,21153,19153,0,0,0,0.0528825,0.9054507634850849
180000,2,2.0,1,34,0,827666,32000,0,0,0,4.598144444444444,0.038662938914972945
20000,1,1.0,2,40,0,79047,10600,0,2,1,3.95235,0.13409743570280971
200000,2,3.0,1,49,1,333047,16286,0,2,1,1.665235,0.048900005104384664
100000,1,1.0,2,27,0,194503,4871,0,0,0,1.94503,0.02504331552726693
60000,1,2.0,2,23,1,171532,8013,0,0,0,2.8588666666666667,0.04671431569619663
110000,2,2.0,2,36,0,303817,13500,0,0,0,2.7619727272727275,0.04443464322272947
260000,2,3.0,1,53,0,2025,2484,1,1,0,0.007788461538461538,1.2266666666666666
50000,2,3.0,1,46,0,213516,7372,0,3,1,4.27032,0.03452668652466326
180000,1,2.0,2,29,0,-12,0,1,1,0,-6.666666666666667e-05,-0.0
110000,1,2.0,2,29,1,311346,10354,0,2,1,2.8304181818181817,0.033255606302955557
340000,2,1.0,2,27,0,923137,90147,0,0,0,2.7151088235294116,0.09765289442412123
50000,1,2.0,2,24,0,31650,11019,0,0,0,0.633,0.3481516587677725
230000,2,2.0,1,28,1,55327,11750,0,0,0,0.24055217391304348,0.2123737054241148
360000,2,2.0,2,32,0,575409,57000,0,0,0,1.5983583333333333,0.09905997299312315
210000,1,2.0,2,43,0,160699,52013,0,1,0,0.7652333333333333,0.32366722879420534
220000,2,2.0,1,41,1,3375,1925,0,2,1,0.01534090909090909,0.5703703703703704
